"","Number_of_mu_Land_Cultivated_lastyear","Total_Income_From_Crops_lastyear","Value_of_Crops_Consumed_lastyear","Yuan_Spent_Raising_Crops_lastyear","Year","HHid","Province","UR","Total_Value_From_Crops_lastyear","CI","time","ratio","logmu","logratio","Y"
"1",70,28000,300,8000,0,211104017,"Liaoning","Urban",28300,"Coastal",1,114.26939008713,4.24992279404054,4.73943347397424,10.250620617194
"2",11,14000,700,10000,2,211104017,"Liaoning","Urban",14700,"Coastal",2,908.265213442325,2.40694510831829,6.81164651518103,9.59560957546478
"3",20,12000,50,4100,5,211104017,"Liaoning","Urban",12050,"Coastal",3,204.897551224388,3.00071981506503,5.32299803382017,9.39682823763955
"4",30,30000,500,12000,11,211104017,"Liaoning","Urban",30500,"Coastal",5,399.866711096301,3.40452517175483,5.99138132138557,10.3254852412787
"5",2,2500,1800,360,0,212102001,"Liaoning","Rural",4300,"Coastal",1,179.10447761194,0.741937344729377,5.18852748690244,8.36639355722519
"6",3,1000,1000,600,2,212102001,"Liaoning","Rural",2000,"Coastal",2,199.335548172757,1.1314021114911,5.29549111732938,7.60095245829212
"7",2,3000,0,0,5,212102001,"Liaoning","Rural",3000,"Coastal",3,0,0.741937344729377,-2.30258509299405,8.00640090042804
"8",1,15000,300,5000,7,212102001,"Liaoning","Rural",15300,"Coastal",4,4950.49504950495,0.0953101798043249,8.50726306035905,9.63561464330688
"9",1,1000,500,700,0,212102008,"Liaoning","Rural",1500,"Coastal",1,693.069306930693,0.0953101798043249,6.54127427949634,7.31328705153484
"10",1,0,800,300,2,212102008,"Liaoning","Rural",800,"Coastal",2,297.029702970297,0.0953101798043249,5.69416875381019,6.68473671985608
"11",1.5,0,3000,600,11,212102008,"Liaoning","Rural",3000,"Coastal",5,397.350993377483,0.470003629245736,5.98507163939324,8.00640090042804
"12",2,1200,240,340,0,212102009,"Liaoning","Rural",1440,"Coastal",1,169.154228855721,0.741937344729377,5.13140189733384,7.27246783460334
"13",3,1200,1200,450,5,212102009,"Liaoning","Rural",2400,"Coastal",3,149.501661129568,1.1314021114911,5.007976169286,7.78326568213467
"14",3,4000,1000,400,7,212102009,"Liaoning","Rural",5000,"Coastal",4,132.890365448505,1.1314021114911,4.89027668536103,8.51721319121624
"15",3,800,800,5000,0,212102013,"Liaoning","Rural",1600,"Coastal",1,1661.12956810631,1.1314021114911,7.41531331084351,7.37782140627483
"16",3,1500,80,600,5,212102013,"Liaoning","Rural",1580,"Coastal",3,199.335548172757,1.1314021114911,5.29549111732938,7.36524341515745
"17",4,7000,400,1500,7,212102013,"Liaoning","Rural",7400,"Coastal",4,374.064837905237,1.41098697371026,5.92469644337797,8.90924879261447
"18",2,2000,500,400,11,212102013,"Liaoning","Rural",2500,"Coastal",5,199.004975124378,0.741937344729377,5.29383219882615,7.82408601005631
"19",1,800,400,400,5,212102020,"Liaoning","Rural",1200,"Coastal",3,396.039603960396,0.0953101798043249,5.98176668438205,7.0901601656374
"20",3,5000,300,350,7,212102020,"Liaoning","Rural",5300,"Coastal",4,116.279069767442,1.1314021114911,4.75685270613456,8.57548096728674
"21",1,0,800,200,11,212102020,"Liaoning","Rural",800,"Coastal",5,198.019801980198,0.0953101798043249,5.28887190822528,6.68473671985608
"22",1,600,200,150,2,212102061,"Liaoning","Rural",800,"Coastal",2,148.514851485149,0.0953101798043249,5.00135806998924,6.68473671985608
"23",1,800,200,200,5,212102061,"Liaoning","Rural",1000,"Coastal",3,198.019801980198,0.0953101798043249,5.28887190822528,6.90785527398247
"24",1,1000,500,50,7,212102061,"Liaoning","Rural",1500,"Coastal",4,49.5049504950495,0.0953101798043249,3.90409063711829,7.31328705153484
"25",1,1300,700,600,0,212102063,"Liaoning","Rural",2000,"Coastal",1,594.059405940594,0.0953101798043249,6.38714764352985,7.60095245829212
"26",1,300,200,300,2,212102063,"Liaoning","Rural",500,"Coastal",2,297.029702970297,0.0953101798043249,5.69416875381019,6.21480807842486
"27",1,0,1200,300,5,212102063,"Liaoning","Rural",1200,"Coastal",3,297.029702970297,0.0953101798043249,5.69416875381019,7.0901601656374
"28",3,4500,1000,1000,7,212102063,"Liaoning","Rural",5500,"Coastal",4,332.225913621262,1.1314021114911,5.80611615492994,8.61252155287346
"29",3,2000,1800,600,0,212102082,"Liaoning","Rural",3800,"Coastal",1,199.335548172757,1.1314021114911,5.29549111732938,8.2427826611577
"30",3,0,2000,500,2,212102082,"Liaoning","Rural",2000,"Coastal",2,166.112956810631,1.1314021114911,5.1132698385321,7.60095245829212
"31",3,2000,2000,2000,7,212102082,"Liaoning","Rural",4000,"Coastal",4,664.451827242525,1.1314021114911,6.49911286945731,8.29407463978953
"32",2,700,700,320,0,212102086,"Liaoning","Rural",1400,"Coastal",1,159.203980099503,0.741937344729377,5.07081420153485,7.24429894162388
"33",2,600,200,400,2,212102086,"Liaoning","Rural",800,"Coastal",2,199.004975124378,0.741937344729377,5.29383219882615,6.68473671985608
"34",2,1000,1000,700,7,212102086,"Liaoning","Rural",2000,"Coastal",4,348.258706467662,0.741937344729377,5.85323271461194,7.60095245829212
"35",2,2700,2000,400,0,212102087,"Liaoning","Rural",4700,"Coastal",1,199.004975124378,0.741937344729377,5.29383219882615,8.45533906406755
"36",4,2000,200,700,5,212102087,"Liaoning","Rural",2200,"Coastal",3,174.563591022444,1.41098697371026,5.16286178684777,7.69625809285884
"37",4,5000,450,800,7,212102087,"Liaoning","Rural",5450,"Coastal",4,199.501246882793,1.41098697371026,5.29632161076563,8.60338923611281
"38",4,2000,2000,1000,0,212103004,"Liaoning","Rural",4000,"Coastal",1,249.376558603491,1.41098697371026,5.51936495728465,8.29407463978953
"39",3,0,2100,500,5,212103004,"Liaoning","Rural",2100,"Coastal",3,166.112956810631,1.1314021114911,5.1132698385321,7.64974024162538
"40",3,1300,600,400,11,212103004,"Liaoning","Rural",1900,"Coastal",5,132.890365448505,1.1314021114911,4.89027668536103,7.54966179534849
"41",5,1400,1400,1000,0,212103007,"Liaoning","Rural",2800,"Coastal",1,199.600798403194,1.62924053973028,5.29682023842676,7.93741040981127
"42",4,2000,1000,750,2,212103007,"Liaoning","Rural",3000,"Coastal",2,187.032418952618,1.41098697371026,5.23181648899525,8.00640090042804
"43",3,0,2000,500,5,212103007,"Liaoning","Rural",2000,"Coastal",3,166.112956810631,1.1314021114911,5.1132698385321,7.60095245829212
"44",5,7000,1000,1300,7,212103007,"Liaoning","Rural",8000,"Coastal",4,259.481037924152,1.62924053973028,5.55906893872666,8.98720932058385
"45",4,2400,1200,1500,0,212103008,"Liaoning","Rural",3600,"Coastal",1,374.064837905237,1.41098697371026,5.92469644337797,8.18871690183618
"46",5,2000,2000,1000,2,212103008,"Liaoning","Rural",4000,"Coastal",2,199.600798403194,1.62924053973028,5.29682023842676,8.29407463978953
"47",6,4000,1500,2000,5,212103008,"Liaoning","Rural",5500,"Coastal",3,332.778702163062,1.80828877117927,5.80777816585388,8.61252155287346
"48",6,600,1500,3500,7,212103008,"Liaoning","Rural",2100,"Coastal",4,582.362728785358,1.80828877117927,6.36726519847489,7.64974024162538
"49",5,4000,3000,700,11,212103008,"Liaoning","Rural",7000,"Coastal",5,139.720558882236,1.62924053973028,4.94035987823102,8.8536797136497
"50",2,2000,2000,1000,0,212103062,"Liaoning","Rural",4000,"Coastal",1,497.512437810945,0.741937344729377,6.20982153671336,8.29407463978953
"51",3,2000,1000,800,5,212103062,"Liaoning","Rural",3000,"Coastal",3,265.78073089701,1.1314021114911,5.58304782814286,8.00640090042804
"52",2,2500,800,300,7,212103062,"Liaoning","Rural",3300,"Coastal",4,149.253731343284,0.741937344729377,5.00631752823542,8.10170805002575
"53",3,3000,100,600,0,212103081,"Liaoning","Rural",3100,"Coastal",1,199.335548172757,1.1314021114911,5.29549111732938,8.03918964801747
"54",3,2000,500,700,2,212103081,"Liaoning","Rural",2500,"Coastal",2,232.558139534884,1.1314021114911,5.44957016385911,7.82408601005631
"55",4,2000,800,800,5,212103081,"Liaoning","Rural",2800,"Coastal",3,199.501246882793,1.41098697371026,5.29632161076563,7.93741040981127
"56",5,6000,600,1500,7,212103081,"Liaoning","Rural",6600,"Coastal",4,299.40119760479,1.62924053973028,5.70211841622795,8.79484007941489
"57",3,1200,1200,400,0,212103084,"Liaoning","Rural",2400,"Coastal",1,132.890365448505,1.1314021114911,4.89027668536103,7.78326568213467
"58",3,2000,800,1000,7,212103084,"Liaoning","Rural",2800,"Coastal",4,332.225913621262,1.1314021114911,5.80611615492994,7.93741040981127
"59",3,2800,100,1200,11,212103084,"Liaoning","Rural",2900,"Coastal",5,398.671096345515,1.1314021114911,5.98838755889522,7.97250049813867
"60",130,5000,1500,150,5,212103122,"Liaoning","Rural",6500,"Coastal",3,1.15375740327667,4.86830338551846,0.226144965183191,8.77957284038077
"61",17,10000,6000,6000,7,212103122,"Liaoning","Rural",16000,"Coastal",4,352.733686067019,2.83907846350861,5.86599680162389,9.68035025120239
"62",0.3,0,600,300,11,212103122,"Liaoning","Rural",600,"Coastal",5,967.741935483871,-0.916290731874155,6.87506878415396,6.39709630799547
"63",24,5000,5000,4000,0,212104001,"Liaoning","Rural",10000,"Coastal",1,166.597251145356,3.18221184049661,5.11617929979089,9.21035037192618
"64",30,10000,200,0,2,212104001,"Liaoning","Rural",10200,"Coastal",2,0,3.40452517175483,-2.30258509299405,9.23015280314587
"65",17,35000,2000,9000,5,212104001,"Liaoning","Rural",37000,"Coastal",3,529.100529100529,2.83907846350861,6.27136743205234,10.5186758943254
"66",14,16000,7000,3000,7,212104001,"Liaoning","Rural",23000,"Coastal",4,214.132762312634,2.64617479738412,5.36706309829077,10.0432538427279
"67",20,0,2000,5000,11,212104001,"Liaoning","Rural",2000,"Coastal",5,249.875062468766,3.00071981506503,5.52136116276193,7.60095245829212
"68",8,2700,1500,1500,0,212104002,"Liaoning","Rural",4200,"Coastal",1,187.265917602996,2.09186406167839,5.23306348348277,8.34286361351183
"69",8,0,3000,800,2,212104002,"Liaoning","Rural",3000,"Coastal",2,99.8751560549313,2.09186406167839,4.60492171567121,8.00640090042804
"70",15,7500,50,520,5,212104002,"Liaoning","Rural",7550,"Coastal",3,34.6435709526982,2.71469474382088,3.54799454633916,8.92931608718847
"71",8,9000,3000,3000,7,212104002,"Liaoning","Rural",12000,"Coastal",4,374.531835205993,2.09186406167839,5.92594377093182,9.39267026206875
"72",10,0,600,1000,11,212104002,"Liaoning","Rural",600,"Coastal",5,99.9000999000999,2.31253542384721,4.60517118498859,6.39709630799547
"73",6,2400,200,2400,0,212104004,"Liaoning","Rural",2600,"Coastal",1,399.334442595674,1.80828877117927,5.99004965310657,7.86330518480841
"74",15,5600,1000,100,2,212104004,"Liaoning","Rural",6600,"Coastal",2,6.66222518321119,2.71469474382088,1.91135200500469,8.79484007941489
"75",15,7000,300,3500,5,212104004,"Liaoning","Rural",7300,"Coastal",3,233.177881412392,2.71469474382088,5.45223036704205,8.89564332567279
"76",4,0,2000,300,11,212104004,"Liaoning","Rural",2000,"Coastal",5,74.8129675810474,1.41098697371026,4.31632700746077,7.60095245829212
"77",2,500,500,400,0,212104006,"Liaoning","Rural",1000,"Coastal",1,199.004975124378,0.741937344729377,5.29383219882615,6.90785527398247
"78",9,6000,600,1500,5,212104006,"Liaoning","Rural",6600,"Coastal",3,166.481687014428,2.2082744135228,5.11548580180871,8.79484007941489
"79",4,0,3000,500,11,212104006,"Liaoning","Rural",3000,"Coastal",5,124.688279301746,1.41098697371026,4.82661853567356,8.00640090042804
"80",4,1320,1320,270,0,212104009,"Liaoning","Rural",2640,"Coastal",1,67.3316708229426,1.41098697371026,4.21111480106834,7.87857207421086
"81",6,0,1500,600,2,212104009,"Liaoning","Rural",1500,"Coastal",2,99.8336106489185,1.80828877117927,4.60450607200239,7.31328705153484
"82",6,1400,1600,500,5,212104009,"Liaoning","Rural",3000,"Coastal",3,83.1946755407654,1.80828877117927,4.42238462805144,8.00640090042804
"83",2,0,2000,500,7,212104009,"Liaoning","Rural",2000,"Coastal",4,248.756218905473,0.741937344729377,5.51687529557086,7.60095245829212
"84",6,1300,1080,480,0,212104010,"Liaoning","Rural",2380,"Coastal",1,79.8668885191348,1.80828877117927,4.38161265548551,7.77489778258956
"85",6,500,600,600,2,212104010,"Liaoning","Rural",1100,"Coastal",2,99.8336106489185,1.80828877117927,4.60450607200239,7.00315636374539
"86",10,30000,500,5000,5,212104010,"Liaoning","Rural",30500,"Coastal",3,499.5004995005,2.31253542384721,6.21380877805176,10.3254852412787
"87",4,9000,1600,2000,7,212104010,"Liaoning","Rural",10600,"Coastal",4,498.753117206983,1.41098697371026,6.21231169812617,9.26861871401792
"88",5,3000,3000,1000,2,212104015,"Liaoning","Rural",6000,"Coastal",2,199.600798403194,1.62924053973028,5.29682023842676,8.69953141473797
"89",5,11000,700,600,5,212104015,"Liaoning","Rural",11700,"Coastal",3,119.760479041916,1.62924053973028,4.78632839170081,9.36735266775787
"90",10,15000,2000,3500,7,212104015,"Liaoning","Rural",17000,"Coastal",4,349.65034965035,2.31253542384721,5.85721961326017,9.74097450537399
"91",13,6000,500,4000,0,212104064,"Liaoning","Rural",6500,"Coastal",1,307.455803228286,2.57261223020711,5.7286565446953,8.77957284038077
"92",18,3000,1000,1000,5,212104064,"Liaoning","Rural",4000,"Coastal",3,55.5247084952804,2.89591193827178,4.01862749993839,8.29407463978953
